jornada,jugador_id,titular,minutos,goles,asistencias,tarjetas,valoracion,fecha_id,resultado,jornada_etiqueta
1,J21,1,90,0,0,0,7.22,20240817,Empate,J01
1,J01,1,82,0,0,0,6.46,20240817,Empate,J01
1,J11,1,90,0,0,0,5.7,20240817,Empate,J01
1,J07,1,71,0,0,1,5.94,20240817,Empate,J01
1,J09,1,87,0,0,0,5.7,20240817,Empate,J01
1,J19,1,71,0,0,0,5.77,20240817,Empate,J01
1,J06,1,73,0,0,0,5.92,20240817,Empate,J01
1,J18,1,90,0,0,0,5.55,20240817,Empate,J01
1,J04,1,90,0,0,1,6.21,20240817,Empate,J01
1,J14,1,79,1,0,0,7.01,20240817,Empate,J01
1,J10,1,89,0,0,0,6.16,20240817,Empate,J01
1,J17,0,36,0,0,0,4.59,20240817,Empate,J01
1,J13,0,12,0,0,1,6.57,20240817,Empate,J01
1,J24,0,24,0,0,0,5.8,20240817,Empate,J01
1,J12,0,17,0,0,0,6.01,20240817,Empate,J01
1,J23,0,1,0,0,0,6.03,20240817,Empate,J01
2,J18,1,90,0,0,0,5.29,20240824,Victoria,J02
2,J08,1,80,0,0,1,5.12,20240824,Victoria,J02
2,J02,1,82,0,0,0,6.49,20240824,Victoria,J02
2,J22,1,85,1,0,1,6.32,20240824,Victoria,J02
2,J19,1,90,0,1,0,5.48,20240824,Victoria,J02
2,J16,1,69,0,0,0,5.33,20240824,Victoria,J02
2,J13,1,89,0,0,1,5.39,20240824,Victoria,J02
2,J17,1,74,0,0,0,7.26,20240824,Victoria,J02
2,J25,1,83,0,0,1,6.36,20240824,Victoria,J02
2,J14,1,75,0,0,0,5.94,20240824,Victoria,J02
2,J07,1,90,1,0,0,7.75,20240824,Victoria,J02
2,J09,0,12,0,1,0,7.11,20240824,Victoria,J02
2,J24,0,30,0,0,0,5.79,20240824,Victoria,J02
2,J12,0,13,0,0,0,6.03,20240824,Victoria,J02
2,J06,0,9,0,0,0,6.13,20240824,Victoria,J02
2,J03,0,17,0,0,1,6.24,20240824,Victoria,J02
3,J15,1,89,0,0,0,5.95,20240831,Victoria,J03
3,J25,1,90,0,0,0,6.88,20240831,Victoria,J03
3,J05,1,77,0,0,0,6.04,20240831,Victoria,J03
3,J10,1,86,0,0,0,6.64,20240831,Victoria,J03
3,J24,1,66,0,0,0,6.21,20240831,Victoria,J03
3,J06,1,88,0,0,0,7.13,20240831,Victoria,J03
3,J01,1,90,0,0,0,5.64,20240831,Victoria,J03
3,J13,1,78,0,0,0,5.93,20240831,Victoria,J03
3,J09,1,74,0,0,0,6.38,20240831,Victoria,J03
3,J23,1,90,1,0,0,6.69,20240831,Victoria,J03
3,J11,1,77,0,0,0,5.54,20240831,Victoria,J03
3,J07,0,5,0,0,0,6.84,20240831,Victoria,J03
3,J14,0,26,0,0,0,6.38,20240831,Victoria,J03
3,J21,0,13,0,0,0,6.46,20240831,Victoria,J03
3,J18,0,26,0,0,0,6.2,20240831,Victoria,J03
3,J22,0,39,0,0,1,6.94,20240831,Victoria,J03
4,J18,1,60,0,0,0,7.34,20240907,Derrota,J04
4,J06,1,73,0,0,0,4.88,20240907,Derrota,J04
4,J05,1,85,0,0,0,5.98,20240907,Derrota,J04
4,J24,1,90,0,0,0,6.14,20240907,Derrota,J04
4,J04,1,76,0,0,0,5.95,20240907,Derrota,J04
4,J15,1,90,0,0,0,6.98,20240907,Derrota,J04
4,J03,1,84,0,0,0,5.8,20240907,Derrota,J04
4,J01,1,90,0,0,0,5.6,20240907,Derrota,J04
4,J13,1,84,0,0,0,6.01,20240907,Derrota,J04
4,J17,1,82,0,1,0,7.02,20240907,Derrota,J04
4,J07,1,77,0,0,0,5.44,20240907,Derrota,J04
4,J11,0,26,0,0,0,5.78,20240907,Derrota,J04
4,J20,0,23,0,0,0,6.58,20240907,Derrota,J04
4,J08,0,3,0,0,0,5.75,20240907,Derrota,J04
4,J02,0,8,0,0,0,5.54,20240907,Derrota,J04
4,J16,0,45,0,0,0,5.07,20240907,Derrota,J04
5,J12,1,85,0,0,0,4.69,20240914,Derrota,J05
5,J20,1,67,0,0,0,6.25,20240914,Derrota,J05
5,J11,1,78,1,0,0,6.97,20240914,Derrota,J05
5,J18,1,88,0,0,0,6.28,20240914,Derrota,J05
5,J19,1,90,0,0,0,5.2,20240914,Derrota,J05
5,J08,1,74,0,0,0,4.97,20240914,Derrota,J05
5,J07,1,90,0,0,0,5.17,20240914,Derrota,J05
5,J24,1,88,0,0,0,5.36,20240914,Derrota,J05
5,J10,1,76,0,0,1,6.01,20240914,Derrota,J05
5,J15,1,90,0,0,0,5.9,20240914,Derrota,J05
5,J17,1,90,0,0,0,5.89,20240914,Derrota,J05
5,J25,0,23,0,0,0,5.41,20240914,Derrota,J05
5,J16,0,11,0,0,0,6.64,20240914,Derrota,J05
5,J02,0,25,0,0,0,6.19,20240914,Derrota,J05
5,J21,0,39,0,0,0,5.85,20240914,Derrota,J05
5,J13,0,38,0,0,0,6.65,20240914,Derrota,J05
6,J03,1,74,0,0,0,5.77,20240928,Empate,J06
6,J19,1,90,0,0,0,6.42,20240928,Empate,J06
6,J14,1,90,0,0,1,6.09,20240928,Empate,J06
6,J15,1,73,0,0,0,6.18,20240928,Empate,J06
6,J18,1,84,0,0,0,5.78,20240928,Empate,J06
6,J12,1,75,1,0,0,6.39,20240928,Empate,J06
6,J04,1,88,0,0,0,6.48,20240928,Empate,J06
6,J25,1,69,0,0,0,7.23,20240928,Empate,J06
6,J08,1,90,0,1,0,6.57,20240928,Empate,J06
6,J05,1,90,0,0,0,6.25,20240928,Empate,J06
6,J13,1,82,0,0,0,5.82,20240928,Empate,J06
6,J23,0,42,0,0,0,6.02,20240928,Empate,J06
6,J22,0,28,0,0,0,6.1,20240928,Empate,J06
6,J10,0,39,0,0,0,5.62,20240928,Empate,J06
