aficionado_id,sesiones_totales,duracion_media_min,pantallas_totales,gasto_total_eur,tasa_apertura_notif
AF-00518C1731,370,8.094090909090909,479.0,102.13000000000001,0.6844660194174758
AF-00AF58751E,108,4.6247727272727275,278.0,0.0,0.35096153846153844
AF-00BC714C5D,333,9.297272727272727,570.0,67.25,0.6111111111111112
AF-00FA2D2BC6,139,5.026136363636364,309.0,0.0,0.325
AF-00FE5CFD46,71,3.8720454545454546,227.0,4.39,0.21634615384615385
AF-0111738FFA,86,3.832045454545455,246.0,0.0,0.21212121212121213
AF-015C0ED11F,10,0.8347727272727272,45.0,0.0,0.07179487179487179
AF-027ECD0846,125,5.016363636363637,299.0,0.0,0.3194444444444444
AF-02A35A9D15,270,7.465227272727272,450.0,72.42,0.463519313304721
AF-02A7FBB908,45,3.7027272727272726,239.0,0.0,0.15454545454545454
AF-02BDD3D00F,325,7.132499999999999,447.0,36.27,0.5362318840579711
AF-02C82EFF49,146,5.775681818181818,345.0,0.0,0.24561403508771928
AF-0310578487,90,5.2102272727272725,337.0,31.97,0.2831858407079646
AF-03762F3BB4,4,0.4706818181818182,29.0,0.0,0.0
AF-03D31D32D1,202,5.359318181818182,315.0,145.38,0.38666666666666666
AF-03D405D2E1,387,9.13090909090909,575.0,179.12,0.604
AF-03D634CA98,103,4.602045454545455,308.0,24.27,0.26976744186046514
AF-04C6D6F217,321,8.076363636363636,506.0,138.05,0.5914893617021276
AF-04D0F10B98,95,5.555227272727273,349.0,58.52,0.26126126126126126
AF-04DBEBA3C5,340,7.4602272727272725,447.0,45.14,0.5384615384615384
AF-04F75F1049,75,3.860909090909091,261.0,0.0,0.18604651162790697
AF-051D3F8133,315,8.281590909090909,525.0,76.15,0.5119617224880383
AF-0548D864AE,32,1.4722727272727274,74.0,0.0,0.1134020618556701
AF-054EFC40AB,114,5.265681818181818,315.0,0.0,0.28205128205128205
AF-059CA66583,69,3.745,254.0,0.0,0.19607843137254902
AF-05B986C441,298,7.982272727272728,528.0,35.6,0.5915492957746479
